#,Patient Care,Price,Rating,Link,Top Review
1,"ReliOn Nitrile Examination Gloves, 100 Ct",$9.24,4.4/5.0,https://www.walmart.com/ip/ReliOn-Nitrile-Examination-Gloves-100-Ct/14284765,blank
2,Curad Basic Care Large/Extra Large Vinyl Exam Gloves  ...,$7.73,4.3/5.0,https://www.walmart.com/ip/Curad-Basic-Care-Large-Extra-Large-Vinyl-Exam-Gloves-100-count/44621723,blank
3,"Urinary Drainage Bag, Urine Drain Bag, Anti-Reflux V  ...",$5.89,0.0/5.0,https://www.walmart.com/ip/Urinary-Drainage-Bag-Urine-Drain-Bag-Anti-Reflux-Valve-2000-ml-Vinyl-37-2802-Each/161868542,blank
4,"Equate Latex Examination Gloves, One Size, 50 Ct",$5.96,0.0/5.0,https://www.walmart.com/ip/Equate-Latex-Examination-Gloves-One-Size-50-Ct/300343224,blank
5,Sitz Bath Carex® Round Dusty Rose Polypropylene,$15.08,4.5/5.0,https://www.walmart.com/ip/Sitz-Bath-Carex-Round-Dusty-Rose-Polypropylene/27931344,blank
6,"3M Littmann Classic III Stethoscope, Rainbow-Finish,  ...",$83.50 - $98.00,3.8/5.0,https://www.walmart.com/ip/3M-Littmann-Classic-III-Stethoscope-Rainbow-Finish-Raspberry-Tube-27-inch/125636484,blank
7,"3M Littmann Classic III Stethoscope, Available in Mu  ...",$80.78 - $92.99,3.7/5.0,https://www.walmart.com/ip/3M-Littmann-Classic-III-Stethoscope-Available-in-Multiple-Colors/170590406,blank
8,"3M Littmann Cardiology IV Stethoscope, Available in   ...",$166.56 - $191.38,2.7/5.0,https://www.walmart.com/ip/3M-Littmann-Cardiology-IV-Stethoscope-Available-in-Multiple-Colors/112383005,blank
9,"Equate Vinyl Examination Gloves, 100 Ct",$7.98,0.0/5.0,https://www.walmart.com/ip/Equate-Vinyl-Examination-Gloves-100-Ct/709075118,blank
10,Kimberly-Clark PROFESSIONAL Protective Gear Disposab  ...,$11.88 - $20.58,4.5/5.0,https://www.walmart.com/ip/Kimberly-Clark-PROFESSIONAL-Protective-Gear-Disposable-Purple-Nitrile-Exam-Gloves-Small-100-Count-KCC-55081/22582311,blank
11,ChoiceMMed Pulse Oximeter,$34.99,4.6/5.0,https://www.walmart.com/ip/ChoiceMMed-Pulse-Oximeter/17325061,blank
12,"Equate Vinyl Examination Gloves, One Size, 50 Ct",$5.84,0.0/5.0,https://www.walmart.com/ip/Equate-Vinyl-Examination-Gloves-One-Size-50-Ct/265514745,blank
13,"Equate Earloop Mask Disposable Mask, 20 Ct",$2.97,5.0/5.0,https://www.walmart.com/ip/Equate-Earloop-Mask-Disposable-Mask-20-Ct/745929347,blank
14,Nauzene Nausea Relief Chewable Tablets Wild Cherry F  ...,$4.96,5.0/5.0,https://www.walmart.com/ip/Nauzene-Nausea-Relief-Chewable-Tablets-Wild-Cherry-Flavor-42-CT/932026162,blank
15,"Equate Gauze Pads, 3""x3"", 25 Ct",$3.54,5.0/5.0,https://www.walmart.com/ip/Equate-Gauze-Pads-3-x3-25-Ct/344776932,blank
16,"BD Ultra-Fine Pen Needles Nano, Penta Point Comfort,  ...",$25.95,5.0/5.0,https://www.walmart.com/ip/BD-Ultra-Fine-Pen-Needles-Nano-Penta-Point-Comfort-4mm-x-32G-90-Count/118727719,blank
17,"Hyland's Leg Cramps, Quick Disolving Tablets 50 Ct",$4.36,4.0/5.0,https://www.walmart.com/ip/Hyland-s-Leg-Cramps-Quick-Disolving-Tablets-50-Ct/26967331,blank
18,Dual-Head Stethoscopes,$7.65 - $9.86,5.0/5.0,https://www.walmart.com/ip/Dual-Head-Stethoscopes/14867655,blank
19,Medline Walker Basket Accessory,$19.25,4.0/5.0,https://www.walmart.com/ip/Medline-Walker-Basket-Accessory/7983662,blank
20,"Acu-Life True Easy Syringe, 10ml",$5.00,4.4/5.0,https://www.walmart.com/ip/Acu-Life-True-Easy-Syringe-10ml/36282226,blank
21,"Prism Series Aluminum Single Head Nurse Stethoscope,  ...",$11.44,4.0/5.0,https://www.walmart.com/ip/Prism-Series-Aluminum-Single-Head-Nurse-Stethoscope-Black-Boxed/31261938,blank
22,"Curad Nitrile Disposable Exam Gloves OSFM, 40 count",$5.26,4.1/5.0,https://www.walmart.com/ip/Curad-Nitrile-Disposable-Exam-Gloves-OSFM-40-count/16608863,blank
23,Sterling ProKit Adjustable Aneroid Sphygmomanometer   ...,$40.58,5.0/5.0,https://www.walmart.com/ip/Sterling-ProKit-Adjustable-Aneroid-Sphygmomanometer-with-Sprague-Stethoscope-Adult-Purple/31261877,blank
24,Organic Herbal Sitz Bath - 6 ct.,$5.45$1.66/oz,0.0/5.0,https://www.walmart.com/ip/Organic-Herbal-Sitz-Bath-6-ct/26961062,blank
25,Mabis Spectrum Dual Head Amplified Stethoscope for N  ...,$6.59,2.5/5.0,https://www.walmart.com/ip/Mabis-Spectrum-Dual-Head-Amplified-Stethoscope-for-Nurses-Medical-Stethoscope-for-Doctors-Black/36780974,blank
26,Soft Stretchy Ear Loop Face Mouth Mask Muffle Solid   ...,$5.47,4.6/5.0,https://www.walmart.com/ip/Soft-Stretchy-Ear-Loop-Face-Mouth-Mask-Muffle-Solid-Black-7-x-5/45586727,blank
27,"Graham Field  Finger Cots Latex, Medium 144 ea",$4.67,4.8/5.0,https://www.walmart.com/ip/Graham-Field-Finger-Cots-Latex-Medium-144-ea/46300913,blank
28,"3M Littmann Stethoscope Spare Parts Kit, Cardiology   ...",$19.99,0.0/5.0,https://www.walmart.com/ip/3M-Littmann-Stethoscope-Spare-Parts-Kit-Cardiology-III-Black/163932114,blank
29,"Camco Grease Storage Container, Replacement Bags, 5-  ...",$3.95,4.4/5.0,https://www.walmart.com/ip/Camco-Grease-Storage-Container-Replacement-Bags-5-Pack/29764387,blank
30,Drive Medical Universal Suction Machine Tubing and F  ...,$16.29 - $17.28,5.0/5.0,https://www.walmart.com/ip/Drive-Medical-Universal-Suction-Machine-Tubing-and-Filter-Replacement-Kit-with-Canister-Pack-of-1/33651351,blank
31,"Mr. Clean Duet Reusable Gloves, Latex, Large",$5.64,3.0/5.0,https://www.walmart.com/ip/Mr-Clean-Duet-Reusable-Gloves-Latex-Large/38454121,blank
32,NEOGEN CORPORATION 9263 6PK 3cc Disponsible Syringe,$5.00,0.0/5.0,https://www.walmart.com/ip/NEOGEN-CORPORATION-9263-6PK-3cc-Disponsible-Syringe/46651835,blank
33,Exam Glove Diamond Grip™ NonSterile White Powder Fre  ...,$17.15,5.0/5.0,https://www.walmart.com/ip/Exam-Glove-Diamond-Grip-NonSterile-White-Powder-Free-Latex-Ambidextrous-Textured-Fingertips-Not-Chemo-Approved-X-Large/26368503,blank
34,"Primacare DH-3692 Taylor Neuro Hammer, 7-1/2"" Length",$5.86,0.0/5.0,https://www.walmart.com/ip/Primacare-DH-3692-Taylor-Neuro-Hammer-7-1-2-Length/49155973,blank
35,"Apothecary EZY Dose  Oral Syringe, 1 ea",$3.44,0.0/5.0,https://www.walmart.com/ip/Apothecary-EZY-Dose-Oral-Syringe-1-ea/46912939,blank
36,"Mabis Bowles Stethoscope, Black",$5.49,0.0/5.0,https://www.walmart.com/ip/Mabis-Bowles-Stethoscope-Black/36780998,blank
37,"Suero Pediatric Electrolyte Solution, 33.8 oz",$7.2822.0¢/fl oz,0.0/5.0,https://www.walmart.com/ip/Suero-Pediatric-Electrolyte-Solution-33-8-oz/10849291,blank
38,BalanceFrom Acupressure Yoga Mat and Pillow Set for   ...,$17.99,5.0/5.0,https://www.walmart.com/ip/BalanceFrom-Acupressure-Yoga-Mat-and-Pillow-Set-for-Back-and-Neck-Pain-Relief-and-Muscle-Relaxation-Massage/922106404,blank
39,"Equate Headache Relief, Acetaminophen, Aspirin & Caf  ...",$4.00,5.0/5.0,https://www.walmart.com/ip/Equate-Headache-Relief-Acetaminophen-Aspirin-Caffeine-Extra-Strength-Twin-Pack-200-Caplets/350249376,blank
40,"Herbal Perineal Spray - Naturally Soothing, Safe for  ...",$11.17$2.80/ozOut of stock,5.0/5.0,https://www.walmart.com/ip/Herbal-Perineal-Spray-Naturally-Soothing-Safe-for-Pregnancy-and-Postpartum-4-Fl-Oz/26961041,blank
